subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_full,pred_vanilla,pred_discomfort_only,pred_full_lm,pred_vanilla_lm,pred_discomfort_only_lm
0383cffe-7969-5917-85d5-e47d0c729fcc,drinks,100,high,0,0.18,1.0,1,6,0.07661096,0.19011483,0.25,0.07261309,0.16299511,0.25
0383cffe-7969-5917-85d5-e47d0c729fcc,drinks,100,high,1,0.82,1.0,1,6,0.30779636,0.40916693,0.25,0.38230157,0.4548892,0.25
0383cffe-7969-5917-85d5-e47d0c729fcc,drinks,100,high,2,0.0,1.0,1,6,0.30779636,0.24908495,0.25,0.2848691,0.24474011,0.25
0383cffe-7969-5917-85d5-e47d0c729fcc,drinks,100,high,3,0.0,1.0,1,6,0.30779636,0.15163323,0.25,0.26021624,0.1373756,0.25
0383cffe-7969-5917-85d5-e47d0c729fcc,driving,0,high,0,0.0,0.0,1,7,0.3699196,0.19011483,0.439189,0.30104434,0.16953488,0.41279
0383cffe-7969-5917-85d5-e47d0c729fcc,driving,0,high,1,1.0,0.0,1,7,0.47905827,0.40916693,0.439189,0.49433944,0.43303886,0.41279
0383cffe-7969-5917-85d5-e47d0c729fcc,driving,0,high,2,0.0,0.0,1,7,0.12064114,0.24908495,0.099210754,0.18319255,0.2884806,0.15328372
0383cffe-7969-5917-85d5-e47d0c729fcc,driving,0,high,3,0.0,0.0,1,7,0.030381043,0.15163323,0.022411248,0.021423768,0.108945645,0.021136338
0383cffe-7969-5917-85d5-e47d0c729fcc,fair,0,high,0,0.0,0.0,1,8,0.3699196,0.19011483,0.439189,0.33407152,0.16121322,0.48437223
0383cffe-7969-5917-85d5-e47d0c729fcc,fair,0,high,1,0.94,0.0,1,8,0.47905827,0.40916693,0.439189,0.5583564,0.47266984,0.43868816
