subject_id,scenario_label,stimulus_index,action_condition,intimacy,stage,desire_rating,effort_rating
6a22516b-8eed-549e-ba1e-0d292a0eb612,breakup,14,low_risk_share,somewhat_formal,posterior,0.92,0.1
6a22516b-8eed-549e-ba1e-0d292a0eb612,breakup,14,low_risk_share,somewhat_formal,prior,0.68,0.58
6a22516b-8eed-549e-ba1e-0d292a0eb612,chapstick,15,no_share,max_formal,posterior,0.57,0.85
6a22516b-8eed-549e-ba1e-0d292a0eb612,chapstick,15,no_share,max_formal,prior,0.63,0.36
6a22516b-8eed-549e-ba1e-0d292a0eb612,earbuds,12,no_share,max_intimate,posterior,1.0,0.78
6a22516b-8eed-549e-ba1e-0d292a0eb612,earbuds,12,no_share,max_intimate,prior,1.0,0.35
6a22516b-8eed-549e-ba1e-0d292a0eb612,gossip,2,low_risk_share,somewhat_intimate,posterior,0.86,0.43
6a22516b-8eed-549e-ba1e-0d292a0eb612,gossip,2,low_risk_share,somewhat_intimate,prior,0.95,0.6
6a22516b-8eed-549e-ba1e-0d292a0eb612,hairbrush,1,high_risk_share,somewhat_intimate,posterior,1.0,0.0
6a22516b-8eed-549e-ba1e-0d292a0eb612,hairbrush,1,high_risk_share,somewhat_intimate,prior,0.81,0.29
6a22516b-8eed-549e-ba1e-0d292a0eb612,harmonica,6,high_risk_share,max_formal,posterior,1.0,1.0
6a22516b-8eed-549e-ba1e-0d292a0eb612,harmonica,6,high_risk_share,max_formal,prior,0.61,0.59
6a22516b-8eed-549e-ba1e-0d292a0eb612,home,3,no_share,somewhat_intimate,posterior,0.37,1.0
6a22516b-8eed-549e-ba1e-0d292a0eb612,home,3,no_share,somewhat_intimate,prior,0.68,0.94
6a22516b-8eed-549e-ba1e-0d292a0eb612,locker-room,4,low_risk_share,somewhat_intimate,posterior,1.0,0.68
6a22516b-8eed-549e-ba1e-0d292a0eb612,locker-room,4,low_risk_share,somewhat_intimate,prior,0.77,0.94
6a22516b-8eed-549e-ba1e-0d292a0eb612,navigation,5,low_risk_share,max_formal,posterior,1.0,1.0
6a22516b-8eed-549e-ba1e-0d292a0eb612,navigation,5,low_risk_share,max_formal,prior,0.71,0.26
6a22516b-8eed-549e-ba1e-0d292a0eb612,salary,8,high_risk_share,max_intimate,posterior,1.0,0.9
6a22516b-8eed-549e-ba1e-0d292a0eb612,salary,8,high_risk_share,max_intimate,prior,0.66,0.44
6a22516b-8eed-549e-ba1e-0d292a0eb612,sauna,13,no_share,somewhat_formal,posterior,0.37,0.8
6a22516b-8eed-549e-ba1e-0d292a0eb612,sauna,13,no_share,somewhat_formal,prior,0.7,0.26
6a22516b-8eed-549e-ba1e-0d292a0eb612,sleeping-bag,10,no_share,somewhat_formal,posterior,1.0,0.4
6a22516b-8eed-549e-ba1e-0d292a0eb612,sleeping-bag,10,no_share,somewhat_formal,prior,1.0,0.24
6a22516b-8eed-549e-ba1e-0d292a0eb612,sunscreen,9,high_risk_share,somewhat_formal,posterior,1.0,1.0
6a22516b-8eed-549e-ba1e-0d292a0eb612,sunscreen,9,high_risk_share,somewhat_formal,prior,1.0,1.0
6a22516b-8eed-549e-ba1e-0d292a0eb612,towel,7,low_risk_share,max_intimate,posterior,1.0,0.0
6a22516b-8eed-549e-ba1e-0d292a0eb612,towel,7,low_risk_share,max_intimate,prior,1.0,0.38
6b195580-82a0-5f5d-9330-4f7162d5bbf3,bed,9,low_risk_share,somewhat_formal,posterior,0.84,0.1
6b195580-82a0-5f5d-9330-4f7162d5bbf3,bed,9,low_risk_share,somewhat_formal,prior,0.71,0.64
6b195580-82a0-5f5d-9330-4f7162d5bbf3,blanket,13,no_share,max_intimate,posterior,0.66,0.78
6b195580-82a0-5f5d-9330-4f7162d5bbf3,blanket,13,no_share,max_intimate,prior,1.0,0.16
6b195580-82a0-5f5d-9330-4f7162d5bbf3,breakup,3,no_share,somewhat_intimate,posterior,0.16,0.96
6b195580-82a0-5f5d-9330-4f7162d5bbf3,breakup,3,no_share,somewhat_intimate,prior,0.83,0.79
6b195580-82a0-5f5d-9330-4f7162d5bbf3,chapstick,6,no_share,max_formal,posterior,0.64,0.76
6b195580-82a0-5f5d-9330-4f7162d5bbf3,chapstick,6,no_share,max_formal,prior,0.78,0.27
6b195580-82a0-5f5d-9330-4f7162d5bbf3,earbuds,7,high_risk_share,somewhat_intimate,posterior,1.0,0.77
6b195580-82a0-5f5d-9330-4f7162d5bbf3,earbuds,7,high_risk_share,somewhat_intimate,prior,0.94,0.34
